图书排行,书名,缩略图地址,图书地址,作者,译者,出版社,定价,京东价
56,软件项目功能点度量方法与应用,http://img10.360buyimg.com/n3/g5/M02/13/11/rBEIDE_6qm8IAAAAAACurEkWnh0AAD0NwHSOdAAAK7E205.jpg,http://book.360buy.com/11029636.html,清华大学出版社,,清华大学出版社,30.00,23.70
57,端到端QoS网络设计,http://img10.360buyimg.com/n3/g5/M02/1B/16/rBEIDFAYi0IIAAAAAADaw_aP-3MAAFaKgKYBQkAANrb853.jpg,http://book.360buy.com/11042730.html,（美）T,田敏,人民邮电出版社,99.00,78.20
58,细说Android 4.0 NDK编程,http://img10.360buyimg.com/n3/g3/M05/07/01/rBEGFFAp5qwIAAAAAAD3w0DTK1oAABYPgAnmgIAAPfb196.jpg,http://book.360buy.com/11055525.html,电子工业出版社,,电子工业出版社,39.00,33.50
59,随身查：一小时搞定你想要的PPT,http://img10.360buyimg.com/n3/g3/M00/06/13/rBEGFFAYi8MIAAAAAADxSu1co6wAABSzwNs2VIAAPFi223.jpg,http://book.360buy.com/11051491.html,,,人民邮电出版社,13.80,11.30
60,移动Web实现指南：面向移动设备的网站优化、开发和设计,http://img10.360buyimg.com/n3/g3/M00/06/13/rBEGFFAYi8oIAAAAAADrVdhg15oAABSzwOxi_gAAOtt695.jpg,http://book.360buy.com/11051492.html,（美）K,张皛珏,人民邮电出版社,39.00,31.90
61,Revit Architecture 2010建筑设计火星课堂（第2版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g1/M01/06/0F/rBEGDVARDwAIAAAAAAETK12lfqkAABQ9gCNd-YAARND318.jpg,http://book.360buy.com/11047298.html,人民邮电出版社,,人民邮电出版社,99.00,78.20
62,产品经理的第二本书,http://img10.360buyimg.com/n3/g6/M04/00/00/rBEGC1AqJDEIAAAAAAC10_sujEIAAAAPgBl4ssAALXr751.jpg,http://book.360buy.com/11067811.html,（美）琳,吴振阳,机械工业出版社,39.00,27.30
63,精通正则表达式（第3版）,http://img10.360buyimg.com/n3/g9/M03/04/15/rBEHaVA92YIIAAAAAAEvwcyKg0wAAA6fAExclUAAS_Z004.jpg,http://book.360buy.com/11070361.html,Jeff,余晟,电子工业出版社,89.00,73.80
64,iOS开发实战体验,http://img10.360buyimg.com/n3/g9/M03/04/13/rBEHaVA9t0oIAAAAAACuZ8Gx4SgAAA5jQPivHAAAK5_913.jpg,http://book.360buy.com/11076890.html,,,海洋出版社,58.00,47.60
65,图灵程序设计丛书：捉虫日记,http://img10.360buyimg.com/n3/g7/M03/00/00/rBEHZlAqNcMIAAAAAAGC3C6AGjcAAAABgKWrtAAAYL0105.jpg,http://book.360buy.com/11067807.html,（德）T,张伸,人民邮电出版社,39.00,29.20
66,Android移动应用开发：基于Adobe AIR,http://img10.360buyimg.com/n3/g5/M02/12/19/rBEIDE_zvicIAAAAAAD6oDuyAC4AADq_ACOLEQAAPq4700.jpg,http://book.360buy.com/11025529.html,Vero,传思,清华大学出版社,56.00,44.20
67,Project2007应用大全（修订版）,http://img10.360buyimg.com/n3/g5/M02/14/14/rBEIDFAD0g0IAAAAAAEirKJWUpgAAECCAEcLZ0AASLE124.jpg,http://book.360buy.com/11042719.html,人民邮电出版社,,人民邮电出版社,89.00,75.70
68,Android实例开发完全手册（附CD光盘1张）,http://img10.360buyimg.com/n3/g3/M04/06/13/rBEGE1AXTjsIAAAAAADGv1Z7TNgAABSbQN4eMkAAMbX867.jpg,http://book.360buy.com/11042698.html,人民邮电出版社,,人民邮电出版社,99.00,78.20
69,Access 2007开发指南（修订版）,http://img10.360buyimg.com/n3/g3/M00/06/13/rBEGFFAXUBAIAAAAAAEkcIev2LAAABSbwBe9s8AASSI469.jpg,http://book.360buy.com/11047288.html,（美）A,谢晖,人民邮电出版社,99.00,78.20
70,5天通过职称计算机考试：PowerPoint 2003中文演示文稿（考点视频串讲＋全真模拟）,http://img10.360buyimg.com/n3/g5/M02/1B/16/rBEIC1AYrIwIAAAAAAGQ0GDl638AAFaQwJiwQ4AAZDo946.jpg,http://book.360buy.com/11054494.html,,,清华大学出版社,29.00,23.10
71,5天通过职称计算机考试：Internet应用（考点视频串讲＋全真模拟）,http://img10.360buyimg.com/n3/g1/M01/06/14/rBEGDVAYrIgIAAAAAAFt8p50eMQAABS6AGGdGMAAW4K624.jpg,http://book.360buy.com/11054497.html,,,清华大学出版社,29.00,23.10
72,Oracle大型数据库系统在AIX/UNIX上的实战详解（第2版）,http://img10.360buyimg.com/n3/g5/M02/1C/04/rBEDilAp5fkIAAAAAAC5srhJ60AAAFfmAKDeD4AALnK682.jpg,http://book.360buy.com/11055499.html,电子工业出版社,,电子工业出版社,89.00,76.40
73,华章专业开发者丛书：Windows Sockets网络编程,http://img10.360buyimg.com/n3/g8/M03/04/1E/rBEHZ1BAfFkIAAAAAABboP6VRlkAAA97wMos3IAAFu4257.jpg,http://book.360buy.com/11074873.html,机械工业出版社,,机械工业出版社,89.00,75.30
74,没那么复杂：Excel函数与公式基础入门,http://img10.360buyimg.com/n3/g5/M02/0F/0A/rBEIC0_r00UIAAAAAAEa0L3d8eIAAC_vQLfieYAARro627.jpg,http://book.360buy.com/11019626.html,人民邮电出版社,,人民邮电出版社,39.00,30.80
75,Android开发关键技术之旅：Java程序员快速学习通道,http://img10.360buyimg.com/n3/g5/M02/12/0D/rBEIC0_xdoIIAAAAAAEAMMhcn74AADmSABOztIAAQBI804.jpg,http://book.360buy.com/11017672.html,中国铁道出版社,,中国铁道出版社,59.80,47.50
76,轻松玩转new iPad,http://img10.360buyimg.com/n3/g5/M02/04/04/rBEIDE_hPiIIAAAAAAAwZTWZplcAAAzqAJSieIAADB9909.jpg,http://book.360buy.com/11019343.html,,,化学工业出版社,39.80,29.90
77,炫动网页译计丛书：网页设计与网站建设从入门到精通（附DVD光盘1张）,http://img10.360buyimg.com/n3/g5/M02/04/04/rBEIC0_hPbwIAAAAAAA0kGHiAXEAAAzpwFgmccAADSo400.jpg,http://book.360buy.com/11019322.html,化学工业出版社,,化学工业出版社,49.80,39.50
78,Android底层接口与驱动开发技术详解,http://img10.360buyimg.com/n3/g5/M02/14/19/rBEIDFAFDdEIAAAAAABCFLqpRegAAEDywKT6CsAAEIs799.jpg,http://book.360buy.com/11037615.html,中国铁道出版社,,中国铁道出版社,79.00,63.20
79,随身查：Office 2007办公高手应用技巧,http://img10.360buyimg.com/n3/g5/M02/15/06/rBEIC1AH6BkIAAAAAADremsmoEUAAEI8AGfH8sAAOuS510.jpg,http://book.360buy.com/11037544.html,人民邮电出版社,,人民邮电出版社,14.80,11.70
80,入门经典系列：HTML、CSS和JavaScript入门经典,http://img10.360buyimg.com/n3/g5/M02/15/06/rBEIC1AH6CUIAAAAAAEQsolrSBgAAEI8AH831cAARDK188.jpg,http://book.360buy.com/11037546.html,（美）J,陈宗斌,人民邮电出版社,59.00,46.60
81,计算机组成原理：学习指导与习题解答（第2版）,http://img10.360buyimg.com/n3/g4/M03/06/12/rBEGFlAXL_cIAAAAAAD-NWUui4EAABSWgBu0TQAAP5N759.jpg,http://book.360buy.com/11045531.html,高等教育出版社,,高等教育出版社,32.50,28.60
82,别说你会玩The New iPad,http://img10.360buyimg.com/n3/g5/M02/14/14/rBEDilAD0qIIAAAAAAB0BcvPAPIAAECCwCyX6IAAHQd260.jpg,http://book.360buy.com/11042914.html,,,机械工业出版社,39.00,30.80
83,3ds Max2012完全自学教程（中文版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g2/M00/06/13/rBEGElAYiv4IAAAAAAG5GhmdjKMAABSzwFkm_EAAbky350.jpg,http://book.360buy.com/11042712.html,人民邮电出版社,,人民邮电出版社,99.00,78.20
84,Android多媒体应用开发实战详解：图像、音频、视频、2D和3D,http://img10.360buyimg.com/n3/g2/M05/06/13/rBEGElAXTrUIAAAAAAEIsJDzzO4AABSbgAuER8AAQjI980.jpg,http://book.360buy.com/11047268.html,人民邮电出版社,,人民邮电出版社,69.00,54.50
85,炫动网页设计丛书：HTML+CSS+DIV网页设计与布局从入门到精通（附光盘）,http://img10.360buyimg.com/n3/g1/M04/06/0F/rBEGD1AR7PoIAAAAAACYTK-Um_8AABRFwIm7AUAAJhk586.jpg,http://book.360buy.com/11050025.html,化学工业出版社,,化学工业出版社,48.00,40.80
86,炫动网页设计丛书：Dreamweaver+Photoshop+Flash网页设计从入门到精通（附光盘）,http://img10.360buyimg.com/n3/g1/M04/06/0F/rBEGDVAR7OoIAAAAAACdCnMimXgAABRFwJFs4kAAJ0i769.jpg,http://book.360buy.com/11050026.html,化学工业出版社,,化学工业出版社,49.80,39.30
87,Visual C++数字图像处理典型案例详解,http://img10.360buyimg.com/n3/g1/M05/06/12/rBEGD1AXNc4IAAAAAABkWk0Ws5kAABSXAGxVBgAAGRy291.jpg,http://book.360buy.com/11051455.html,机械工业出版社,,机械工业出版社,69.00,54.50
88,会声会影X5学习手册（附DVD光盘1张）,http://img10.360buyimg.com/n3/g5/M02/1B/1C/rBEIC1Ag4eEIAAAAAAF6SmZIUl0AAFcywCCAoEAAXpi976.jpg,http://book.360buy.com/11051498.html,人民邮电出版社,,人民邮电出版社,59.00,48.20
89,5天通过职称计算机考试：Excel 2003中文电子表格（考点视频串讲＋全真模拟）,http://img10.360buyimg.com/n3/g5/M02/1B/16/rBEIC1AYrIQIAAAAAAGHBGD4mUIAAFaQwIkDQ0AAYcc360.jpg,http://book.360buy.com/11054493.html,,,清华大学出版社,29.00,23.10
90,5天通过职称计算机考试：中文WindowsXP操作系统（考点视频串讲+全真模拟）,http://img10.360buyimg.com/n3/g1/M01/06/14/rBEGDVAYrIEIAAAAAAGM0V_uwZkAABS6AFgQyoAAYzp004.jpg,http://book.360buy.com/11054496.html,,,清华大学出版社,29.00,23.10
91,UG NX 8.0完全自学手册（中文版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g3/M00/06/14/rBEGFFAY_AgIAAAAAAE1I43SRtYAABTKQC-f48AATU7470.jpg,http://book.360buy.com/11054646.html,人民邮电出版社,,人民邮电出版社,88.00,71.90
92,Word/Excel 2007高效办公从新手到高手（超值视频教学实战版）（含盘）,http://img10.360buyimg.com/n3/g3/M00/07/02/rBEGE1AqAX8IAAAAAAFW7lVHf2wAABYVwIVprcAAVcG021.jpg,http://book.360buy.com/11055454.html,,,中国铁道出版社,45.00,38.60
93,实战Android应用开发（附光盘）,http://img10.360buyimg.com/n3/g7/M03/04/06/rBEHZVA8m7IIAAAAAADiV0PjwQoAAA0twN0agUAAOJv639.jpg,http://book.360buy.com/11067964.html,清华大学出版社,,清华大学出版社,59.80,51.30
94,Premiere Pro CS6基础培训教程（中文版）（附DVD光盘1张）,http://img10.360buyimg.com/n3/g7/M03/00/15/rBEHZlA3WnsIAAAAAADl3ERJq-gAAAISwP--_EAAOX0422.jpg,http://book.360buy.com/11069060.html,人民邮电出版社,,人民邮电出版社,39.00,31.90
95,爱上机器人：仿生机器人制作入门,http://img10.360buyimg.com/n3/g7/M03/05/0B/rBEHZlBHF1sIAAAAAAFViiYrbLIAABC1AEHLLcAAVWi250.jpg,http://book.360buy.com/11072165.html,人民邮电出版社,,人民邮电出版社,35.00,29.60
96,jQuery Mobile权威指南,http://img10.360buyimg.com/n3/g8/M03/05/0A/rBEHaFBG_pMIAAAAAADCwxkRjE8AABCpAApESEAAMLb539.jpg,http://book.360buy.com/11078703.html,机械工业出版社,,机械工业出版社,59.00,48.50
97,中小企业网络管理员实战指南,http://img10.360buyimg.com/n3/g5/M02/15/04/rBEIC1AHtiQIAAAAAAEeqlsZ-KAAAEIKwIpBRcAAR7C414.jpg,http://book.360buy.com/11042331.html,电子工业出版社,,电子工业出版社,69.00,56.60
98,水晶石技法：Flash商业交互设计（附DVD光盘1张）,http://img10.360buyimg.com/n3/g5/M02/0F/0A/rBEIC0_r01UIAAAAAADAfBjBdbgAAC_vwHf5xEAAMCU784.jpg,http://book.360buy.com/11019628.html,,,人民邮电出版社,68.00,54.60
99,专业网络视频手册：网络视频的策划、制片、发行、推广和营利,http://img10.360buyimg.com/n3/g5/M02/14/15/rBEIDFAD9QIIAAAAAAEZCcHG8HwAAECdgAkQ3AAARkh608.jpg,http://book.360buy.com/11028454.html,（美）R,张可,人民邮电出版社,89.00,67.40
100,AutoCAD 2012建筑制图与室内设计精粹,http://img10.360buyimg.com/n3/g5/M02/15/04/rBEIC1AHtmQIAAAAAAFRXOYVAzsAAEILAF_x58AAVF0781.jpg,http://book.360buy.com/11042340.html,电子工业出版社,,电子工业出版社,43.00,35.30
